,Name,License
440,timm_pit_xs_224_imagenet_11,apache-2.0
441,timm_pit_xs_distilled_224_imagenet_11,apache-2.0
442,timm_pnasnet5large_imagenet_11,apache-2.0
443,timm_regnetx_002_imagenet_11,apache-2.0
444,timm_regnetx_004_imagenet_11,apache-2.0
445,timm_regnetx_006_imagenet_11,apache-2.0
446,timm_regnetx_008_imagenet_11,apache-2.0
447,timm_regnetx_016_imagenet_11,apache-2.0
448,timm_regnetx_032_imagenet_11,apache-2.0
449,timm_regnetx_040_imagenet_11,apache-2.0
450,timm_regnetx_064_imagenet_11,apache-2.0
451,timm_regnetx_080_imagenet_11,apache-2.0
452,timm_regnetx_120_imagenet_11,apache-2.0
453,timm_regnetx_160_imagenet_11,apache-2.0
454,timm_regnetx_320_imagenet_11,apache-2.0
455,timm_regnety_002_imagenet_11,apache-2.0
456,timm_regnety_004_imagenet_11,apache-2.0
457,timm_regnety_006_imagenet_11,apache-2.0
458,timm_regnety_008_imagenet_11,apache-2.0
459,timm_regnety_016_imagenet_11,apache-2.0
460,timm_regnety_032_imagenet_11,apache-2.0
461,timm_regnety_040_imagenet_11,apache-2.0
462,timm_regnety_064_imagenet_11,apache-2.0
463,timm_regnety_080_imagenet_11,apache-2.0
464,timm_regnety_120_imagenet_11,apache-2.0
465,timm_regnety_160_imagenet_11,apache-2.0
466,timm_regnety_320_imagenet_11,apache-2.0
467,timm_repvgg_a2_imagenet_11,apache-2.0
468,timm_repvgg_b0_imagenet_11,apache-2.0
469,timm_repvgg_b1_imagenet_11,apache-2.0
470,timm_repvgg_b1g4_imagenet_11,apache-2.0
471,timm_repvgg_b2_imagenet_11,apache-2.0
472,timm_repvgg_b2g4_imagenet_11,apache-2.0
473,timm_repvgg_b3_imagenet_11,apache-2.0
474,timm_repvgg_b3g4_imagenet_11,apache-2.0
475,timm_res2net50_14w_8s_imagenet_11,apache-2.0
476,timm_res2net50_26w_4s_imagenet_11,apache-2.0
477,timm_res2net50_26w_6s_imagenet_11,apache-2.0
478,timm_res2net50_26w_8s_imagenet_11,apache-2.0
479,timm_res2net50_48w_2s_imagenet_11,apache-2.0
